"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23202","Administrador acessa a aplicação visualização das telas","","Thu May 22 09:26:10 BRT 2025","passed","Thu May 22 09:26:33 BRT 2025","","","",""
"","6177","O usuário visualiza dados já cadastrados no módulo","","Thu May 22 09:19:57 BRT 2025","passed","Thu May 22 09:20:03 BRT 2025","","","",""
"","18879","Usuário Trading/Portifólio acessa a aplicação editar","","Thu May 22 09:31:46 BRT 2025","broken","Thu May 22 09:32:05 BRT 2025","","","",""
"","1186","Acesso ao menu pelo Trading/Portifólio","","Thu May 22 09:32:26 BRT 2025","passed","Thu May 22 09:32:27 BRT 2025","","","",""
"","6096","O usuário seleciona o modulo Produtos Curto Prazo do menu lateral","","Thu May 22 09:19:51 BRT 2025","passed","Thu May 22 09:19:57 BRT 2025","","","",""
"","753","Exportar dados da diretriz diária apresentados em XLSX","","Thu May 22 09:27:51 BRT 2025","passed","Thu May 22 09:27:52 BRT 2025","","","",""
"","1888","Exportar dados da diretriz Semanal apresentados em XLSX","","Thu May 22 09:27:52 BRT 2025","passed","Thu May 22 09:27:54 BRT 2025","","","",""
"","288","Visualizar dashboard com diretrizes de curto prazo","","Thu May 22 09:27:17 BRT 2025","passed","Thu May 22 09:27:17 BRT 2025","","","",""
"","3243","Usuário autenticado e associado ao perfil","","Thu May 22 09:30:41 BRT 2025","passed","Thu May 22 09:30:45 BRT 2025","","","",""
"","2673","Administrador acessa a tela de usuários","","Thu May 22 09:17:52 BRT 2025","passed","Thu May 22 09:17:55 BRT 2025","","","",""
"","457","Verificar apresentação dos dados de diretrizes diárias","","Thu May 22 09:27:17 BRT 2025","passed","Thu May 22 09:27:18 BRT 2025","","","",""
"","2998","Visualizar usuários cadastrados","","Thu May 22 09:17:55 BRT 2025","passed","Thu May 22 09:17:58 BRT 2025","","","",""
"","5526","Verificar apresentação de dados BBCE do histórico dos dados de diretrizes semanais","","Thu May 22 09:27:35 BRT 2025","passed","Thu May 22 09:27:40 BRT 2025","","","",""
"","5404","Verificar apresentação de dados BBCE do histórico dos dados de diretrizes diárias","","Thu May 22 09:27:29 BRT 2025","passed","Thu May 22 09:27:35 BRT 2025","","","",""
"","24687","Administrador cadastra um novo usuário","","Thu May 22 09:29:52 BRT 2025","passed","Thu May 22 09:30:17 BRT 2025","","","",""
"","41292","Administrador acessa a aplicação cadastro de usuário com perfis","","Thu May 22 09:25:29 BRT 2025","passed","Thu May 22 09:26:10 BRT 2025","","","",""
"","21964","Tentativa de acesso não logado","","Thu May 22 09:31:10 BRT 2025","failed","Thu May 22 09:31:31 BRT 2025","","","",""
"","24530","Acesso não logado","","Thu May 22 09:30:45 BRT 2025","broken","Thu May 22 09:31:10 BRT 2025","","","",""
"","15641","Cancelar processo para adicionar um novo usuário","","Thu May 22 09:17:58 BRT 2025","passed","Thu May 22 09:18:13 BRT 2025","","","",""
"","27515","Consultar um arquivo de evidências com sucesso","","Thu May 22 09:24:36 BRT 2025","passed","Thu May 22 09:25:04 BRT 2025","","","",""
"","308","Usuário Trading/Portifólio acessa a aplicação prêmios","","Thu May 22 09:32:26 BRT 2025","passed","Thu May 22 09:32:26 BRT 2025","","","",""
