"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26513","Acesso não logado","","Thu May 22 16:59:43 BRT 2025","failed","Thu May 22 17:00:10 BRT 2025","","","",""
"","6170","O usuário seleciona o modulo Produtos Curto Prazo do menu lateral","","Thu May 22 16:52:17 BRT 2025","passed","Thu May 22 16:52:23 BRT 2025","","","",""
"","1381","Acesso ao menu pelo Trading/Portifólio","","Thu May 22 17:01:34 BRT 2025","passed","Thu May 22 17:01:36 BRT 2025","","","",""
"","21035","Administrador acessa a aplicação operações Trading/Portifólio","","Thu May 22 16:55:03 BRT 2025","passed","Thu May 22 16:55:24 BRT 2025","","","",""
"","5312","Verificar apresentação de dados BBCE do histórico dos dados de diretrizes semanais","","Thu May 22 16:56:04 BRT 2025","passed","Thu May 22 16:56:09 BRT 2025","","","",""
"","5322","Verificar apresentação de dados DCIDE do histórico dos dados de diretrizes diárias","","Thu May 22 16:56:09 BRT 2025","passed","Thu May 22 16:56:14 BRT 2025","","","",""
"","5449","Verificar apresentação do histórico dos dados de diretrizes diárias","","Thu May 22 16:55:47 BRT 2025","passed","Thu May 22 16:55:53 BRT 2025","","","",""
"","475","Verificar apresentação dos dados de diretrizes diárias","","Thu May 22 16:55:47 BRT 2025","passed","Thu May 22 16:55:47 BRT 2025","","","",""
"","2663","Administrador acessa a tela de usuários","","Thu May 22 16:50:19 BRT 2025","passed","Thu May 22 16:50:21 BRT 2025","","","",""
"","5418","Verificar apresentação de dados BBCE do histórico dos dados de diretrizes diárias","","Thu May 22 16:55:58 BRT 2025","passed","Thu May 22 16:56:04 BRT 2025","","","",""
"","386","Visualizar dashboard com diretrizes de curto prazo","","Thu May 22 16:55:46 BRT 2025","passed","Thu May 22 16:55:47 BRT 2025","","","",""
"","10745","Exportar dados da diretriz curto prazo apresentados em XLSX","","Thu May 22 16:56:43 BRT 2025","passed","Thu May 22 16:56:53 BRT 2025","","","",""
"","377","Usuário Trading/Portifólio acessa a aplicação prêmios","","Thu May 22 17:01:34 BRT 2025","passed","Thu May 22 17:01:34 BRT 2025","","","",""
"","396","Visualizar dashboard com diretrizes","","Thu May 22 16:55:45 BRT 2025","passed","Thu May 22 16:55:46 BRT 2025","","","",""
"","18142","Excluir um usuário existente","","Thu May 22 16:51:44 BRT 2025","passed","Thu May 22 16:52:02 BRT 2025","","","",""
"","6666","O usuário seleciona o modulo Produtos IREC do menu lateral","","Thu May 22 16:52:11 BRT 2025","passed","Thu May 22 16:52:17 BRT 2025","","","",""
"","41299","Administrador acessa a aplicação cadastro de usuário com perfis","","Thu May 22 16:53:58 BRT 2025","passed","Thu May 22 16:54:39 BRT 2025","","","",""
"","5286","Verificar apresentação de dados DCIDE do histórico dos dados de diretrizes semanais","","Thu May 22 16:56:14 BRT 2025","passed","Thu May 22 16:56:20 BRT 2025","","","",""
"","17308","Alteração de dados do usuário com sucesso","","Thu May 22 16:58:10 BRT 2025","passed","Thu May 22 16:58:27 BRT 2025","","","",""
"","421","Verificar apresentação dos dados de diretrizes semanais","","Thu May 22 16:55:47 BRT 2025","passed","Thu May 22 16:55:47 BRT 2025","","","",""
"","28774","Enviar um arquivo de evidências com sucesso ao cadastrar a diretriz Curto Prazo","","Thu May 22 16:52:36 BRT 2025","passed","Thu May 22 16:53:05 BRT 2025","","","",""
"","397","Usuário Trading/Portifólio acessa a aplicação visualizar","","Thu May 22 17:01:01 BRT 2025","passed","Thu May 22 17:01:02 BRT 2025","","","",""
"","24436","Cadastro de usuário com sucesso","","Thu May 22 16:56:58 BRT 2025","passed","Thu May 22 16:57:23 BRT 2025","","","",""
"","26638","Adicionar um novo usuário administrador","","Thu May 22 16:50:40 BRT 2025","passed","Thu May 22 16:51:06 BRT 2025","","","",""
"","5335","Verificar apresentação do histórico dos dados de diretrizes semanais","","Thu May 22 16:55:53 BRT 2025","passed","Thu May 22 16:55:58 BRT 2025","","","",""
"","15607","Usuário Trading/Portifólio acessa a aplicação editar","","Thu May 22 17:01:02 BRT 2025","passed","Thu May 22 17:01:17 BRT 2025","","","",""
"","24819","Administrador cadastra um novo usuário","","Thu May 22 16:58:50 BRT 2025","passed","Thu May 22 16:59:15 BRT 2025","","","",""
"","6215","O usuário visualiza dados já cadastrados no módulo","","Thu May 22 16:52:23 BRT 2025","passed","Thu May 22 16:52:30 BRT 2025","","","",""
"","22132","Campos obrigatórios não preenchidos","","Thu May 22 16:58:27 BRT 2025","passed","Thu May 22 16:58:49 BRT 2025","","","",""
"","24915","Consultar um arquivo que não existe","","Thu May 22 16:53:33 BRT 2025","passed","Thu May 22 16:53:58 BRT 2025","","","",""
"","22782","Cadastro de usuário com e-mail inválido","","Thu May 22 16:57:47 BRT 2025","passed","Thu May 22 16:58:10 BRT 2025","","","",""
"","3024","Visualizar usuários cadastrados","","Thu May 22 16:50:21 BRT 2025","passed","Thu May 22 16:50:24 BRT 2025","","","",""
"","1542","O menu lateral deve estar presente na página","","Thu May 22 16:52:02 BRT 2025","passed","Thu May 22 16:52:04 BRT 2025","","","",""
"","10723","Exportar dados da diretriz I-REC apresentados em XLSX","","Thu May 22 16:56:32 BRT 2025","passed","Thu May 22 16:56:43 BRT 2025","","","",""
"","464","Acesso ao menu pelo Administrador","","Thu May 22 16:55:44 BRT 2025","passed","Thu May 22 16:55:45 BRT 2025","","","",""
"","3264","Usuário autenticado e associado ao perfil","","Thu May 22 16:59:40 BRT 2025","passed","Thu May 22 16:59:43 BRT 2025","","","",""
"","694","Exportar dados da diretriz diária apresentados em XLSX","","Thu May 22 16:56:20 BRT 2025","passed","Thu May 22 16:56:20 BRT 2025","","","",""
"","316","Visualizar dashboard para I-REC","","Thu May 22 16:55:46 BRT 2025","passed","Thu May 22 16:55:46 BRT 2025","","","",""
"","24413","Erro ao tentar cadastrar usuário que já existe","","Thu May 22 16:57:23 BRT 2025","passed","Thu May 22 16:57:47 BRT 2025","","","",""
"","15418","Cancelar processo para adicionar um novo usuário","","Thu May 22 16:50:24 BRT 2025","passed","Thu May 22 16:50:40 BRT 2025","","","",""
"","25310","Administrador tenta cadastrar um usuário já existente","","Thu May 22 16:59:15 BRT 2025","passed","Thu May 22 16:59:40 BRT 2025","","","",""
"","23273","Administrador acessa a aplicação visualização das telas","","Thu May 22 16:54:39 BRT 2025","passed","Thu May 22 16:55:03 BRT 2025","","","",""
"","11600","Exportar dados da diretriz Semanal apresentados em XLSX","","Thu May 22 16:56:20 BRT 2025","passed","Thu May 22 16:56:32 BRT 2025","","","",""
"","18038","Cancelar exclusão de um usuário","","Thu May 22 16:51:26 BRT 2025","passed","Thu May 22 16:51:44 BRT 2025","","","",""
"","296","Visualizar dashboard com diretrizes semanais","","Thu May 22 16:55:46 BRT 2025","passed","Thu May 22 16:55:46 BRT 2025","","","",""
"","3207","Usuário Trading/Portifólio acessa a aplicação criar dados","","Thu May 22 17:01:31 BRT 2025","passed","Thu May 22 17:01:34 BRT 2025","","","",""
"","6182","O usuário acessa o botão para adicionar um novo item","","Thu May 22 16:52:30 BRT 2025","passed","Thu May 22 16:52:36 BRT 2025","","","",""
"","13206","Usuário Trading/Portifólio acessa a aplicação excluir","","Thu May 22 17:01:17 BRT 2025","passed","Thu May 22 17:01:31 BRT 2025","","","",""
"","20725","Administrador acessa a aplicação operações módulo Comercial","","Thu May 22 16:55:24 BRT 2025","passed","Thu May 22 16:55:44 BRT 2025","","","",""
"","6525","O usuário seleciona o modulo Produtos Semanal Diario do menu lateral","","Thu May 22 16:52:04 BRT 2025","passed","Thu May 22 16:52:10 BRT 2025","","","",""
"","4598","Usuário Trading/Portifólio acessa a aplicação prêmio de proposta de diretrizes","","Thu May 22 17:00:52 BRT 2025","passed","Thu May 22 17:00:57 BRT 2025","","","",""
"","4581","Usuário Trading/Portifólio acessa a aplicação prêmios padrão","","Thu May 22 17:00:57 BRT 2025","passed","Thu May 22 17:01:01 BRT 2025","","","",""
"","27996","Consultar um arquivo de evidências com sucesso","","Thu May 22 16:53:05 BRT 2025","passed","Thu May 22 16:53:33 BRT 2025","","","",""
"","4569","Visualizar prêmios padrões","","Thu May 22 16:56:53 BRT 2025","passed","Thu May 22 16:56:58 BRT 2025","","","",""
"","37211","Tentativa de acesso não logado","","Thu May 22 17:00:10 BRT 2025","failed","Thu May 22 17:00:47 BRT 2025","","","",""
"","19536","Editar um usuário existente","","Thu May 22 16:51:06 BRT 2025","passed","Thu May 22 16:51:26 BRT 2025","","","",""
"","4633","Usuário Trading/Portifólio acessa a aplicação diretrizes","","Thu May 22 17:00:48 BRT 2025","passed","Thu May 22 17:00:52 BRT 2025","","","",""
